Gene_ID	Symbol	Synonyms	Chromosome	Gene_Name	Source
5243	ABCB1	P-gp|CD243|GP170|ABC20	7	ATP binding cassette subfamily B member 1	HGNC_protein_coding
5244	ABCB4	MDR2|PFIC-3|GBD1	7	ATP binding cassette subfamily B member 4	HGNC_protein_coding
340273	ABCB5	EST422562|ABCB5beta|ABCB5alpha	7	ATP binding cassette subfamily B member 5	HGNC_protein_coding
10058	ABCB6	EST45597|umat|MTABC3	2	ATP binding cassette subfamily B member 6 (Langereis blood group)	HGNC_protein_coding
22	ABCB7	EST140535|Atm1p|ASAT	X	ATP binding cassette subfamily B member 7	HGNC_protein_coding
11194	ABCB8	EST328128|M-ABC1|MABC1|MITOSUR	7	ATP binding cassette subfamily B member 8	HGNC_protein_coding
23457	ABCB9	EST122234	12	ATP binding cassette subfamily B member 9	HGNC_protein_coding
23456	ABCB10	EST20237|M-ABC2|MTABC2	1	ATP binding cassette subfamily B member 10	HGNC_protein_coding
8647	ABCB11	ABC16|SPGP|PFIC-2|PGY4	2	ATP binding cassette subfamily B member 11	HGNC_protein_coding
4363	ABCC1	GS-X	16	ATP binding cassette subfamily C member 1	HGNC_protein_coding
1244	ABCC2	DJS|MRP2|cMRP	10	ATP binding cassette subfamily C member 2	HGNC_protein_coding
8714	ABCC3	MRP3|cMOAT2|EST90757|MLP2|MOAT-D	17	ATP binding cassette subfamily C member 3	HGNC_protein_coding
10257	ABCC4	MRP4|EST170205|MOAT-B|MOATB	13	ATP binding cassette subfamily C member 4	HGNC_protein_coding
10057	ABCC5	MRP5|SMRP|EST277145|MOAT-C	3	ATP binding cassette subfamily C member 5	HGNC_protein_coding
368	ABCC6	MRP6|EST349056|MLP1|URG7	16	ATP binding cassette subfamily C member 6	HGNC_protein_coding
6833	ABCC8	HI|PHHI|SUR1|MRP8|ABC36|HHF1|TNDM2	11	ATP binding cassette subfamily C member 8	HGNC_protein_coding
10060	ABCC9	SUR2|CMD1O	12	ATP binding cassette subfamily C member 9	HGNC_protein_coding
89845	ABCC10	EST182763|MRP7|SIMRP7	6	ATP binding cassette subfamily C member 10	HGNC_protein_coding
85320	ABCC11	MRP8	16	ATP binding cassette subfamily C member 11	HGNC_protein_coding
94160	ABCC12	MRP9	16	ATP binding cassette subfamily C member 12	HGNC_protein_coding
215	ABCD1	AMN|ALDP|adrenoleukodystrophy	X	ATP binding cassette subfamily D member 1	HGNC_protein_coding
225	ABCD2	ALDR|ALDRP	12	ATP binding cassette subfamily D member 2	HGNC_protein_coding
5825	ABCD3	PMP70|ZWS2	1	ATP binding cassette subfamily D member 3	HGNC_protein_coding
5826	ABCD4	PMP69|P70R|EST352188	14	ATP binding cassette subfamily D member 4	HGNC_protein_coding
6059	ABCE1	RLI|OABP|RLI1	4	ATP binding cassette subfamily E member 1	HGNC_protein_coding
23	ABCF1	EST123147	6	ATP binding cassette subfamily F member 1	HGNC_protein_coding
10061	ABCF2	EST133090|ABC28|M-ABC1|HUSSY-18	7	ATP binding cassette subfamily F member 2	HGNC_protein_coding
55324	ABCF3	EST201864	3	ATP binding cassette subfamily F member 3	HGNC_protein_coding
9619	ABCG1	ABC8	21	ATP binding cassette subfamily G member 1	HGNC_protein_coding
9429	ABCG2	EST157481|MXR|BCRP|ABCP|CD338	4	ATP binding cassette subfamily G member 2 (Junior blood group)	HGNC_protein_coding
64137	ABCG4	WHITE2	11	ATP binding cassette subfamily G member 4	HGNC_protein_coding
64240	ABCG5	STSL	2	ATP binding cassette subfamily G member 5	HGNC_protein_coding
64241	ABCG8	GBD4	2	ATP binding cassette subfamily G member 8	HGNC_protein_coding
84696	ABHD1	LABH1|FLJ36128	2	abhydrolase domain containing 1	HGNC_protein_coding
11057	ABHD2	LABH2	15	abhydrolase domain containing 2, acylglycerol lipase	HGNC_protein_coding
171586	ABHD3	LABH3	18	abhydrolase domain containing 3, phospholipase	HGNC_protein_coding
63874	ABHD4	FLJ12816	14	abhydrolase domain containing 4, N-acyl phospholipase B	HGNC_protein_coding
51099	ABHD5	CGI-58|NCIE2	3	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase	HGNC_protein_coding
57406	ABHD6	-	3	abhydrolase domain containing 6, acylglycerol lipase	HGNC_protein_coding
79575	ABHD8	FLJ11743|MGC14280|MGC2512	19	abhydrolase domain containing 8	HGNC_protein_coding
55347	ABHD10	FLJ11342	3	abhydrolase domain containing 10, depalmitoylase	HGNC_protein_coding
83451	ABHD11	PP1226	7	abhydrolase domain containing 11	HGNC_protein_coding
26090	ABHD12	DKFZP434P106|dJ965G21.2|BEM46L2|ABHD12A	20	abhydrolase domain containing 12, lysophospholipase	HGNC_protein_coding
145447	ABHD12B	BEM46L3	14	abhydrolase domain containing 12B	HGNC_protein_coding
84945	ABHD13	bA153I24.2|FLJ14906|BEM46L1	13	abhydrolase domain containing 13	HGNC_protein_coding
25864	ABHD14A	DKFZP564O243|DORZ1	3	abhydrolase domain containing 14A	HGNC_protein_coding
84836	ABHD14B	MGC15429|CIB	3	abhydrolase domain containing 14B	HGNC_protein_coding
116236	ABHD15	-	17	abhydrolase domain containing 15	HGNC_protein_coding
7920	ABHD16A	NG26|D6S82E	6	abhydrolase domain containing 16A, phospholipase	HGNC_protein_coding
140701	ABHD16B	dJ591C20.1	20	abhydrolase domain containing 16B	HGNC_protein_coding
81926	ABHD17A	MGC5244	19	abhydrolase domain containing 17A, depalmitoylase	HGNC_protein_coding
51104	ABHD17B	CGI-67	9	abhydrolase domain containing 17B, depalmitoylase	HGNC_protein_coding
58489	ABHD17C	FAM108C1	15	abhydrolase domain containing 17C, depalmitoylase	HGNC_protein_coding
80167	ABHD18	FLJ21106	4	abhydrolase domain containing 18	HGNC_protein_coding
10006	ABI1	E3B1|ABI-1	10	abl interactor 1	HGNC_protein_coding
10152	ABI2	ABI-2|AIP-1|ABI2B|AblBP3|argBPIA|SSH3BP2	2	abl interactor 2	HGNC_protein_coding
51225	ABI3	NESH|SSH3BP3	17	ABI family member 3	HGNC_protein_coding
25890	ABI3BP	NESHBP|DKFZP586L2024|TARSH	3	ABI family member 3 binding protein	HGNC_protein_coding
54942	ABITRAM	CG-8|FLJ20457|Simiate	9	actin binding transcription modulator	HGNC_protein_coding
25	ABL1	JTK7|c-ABL|p150	9	ABL proto-oncogene 1, non-receptor tyrosine kinase	HGNC_protein_coding
27	ABL2	ARG	1	ABL proto-oncogene 2, non-receptor tyrosine kinase	HGNC_protein_coding
3983	ABLIM1	abLIM|limatin	10	actin binding LIM protein 1	HGNC_protein_coding
84448	ABLIM2	KIAA1808	4	actin binding LIM protein family member 2	HGNC_protein_coding
22885	ABLIM3	KIAA0843	5	actin binding LIM protein family member 3	HGNC_protein_coding
28	ABO	A3GALNT|A3GALT1	9	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	HGNC_protein_coding
29	ABR	MDB	17	ABR activator of RhoGEF and GTPase	HGNC_protein_coding
137735	ABRA	STARS	8	actin binding Rho activating protein	HGNC_protein_coding
58527	ABRACL	PRO2013|HSPC280|Costars	6	ABRA C-terminal like	HGNC_protein_coding
84142	ABRAXAS1	FLJ13614|ABRA1|ABRAXAS	4	abraxas 1, BRCA1 A complex subunit	HGNC_protein_coding
23172	ABRAXAS2	Em:AC068896.4|ABRO1	10	abraxas 2, BRISC complex subunit	HGNC_protein_coding
29777	ABT1	Esf2	6	activator of basal transcription 1	HGNC_protein_coding
80325	ABTB1	BPOZ|EF1ABP|Btb3|BTBD21	3	ankyrin repeat and BTB domain containing 1	HGNC_protein_coding
25841	ABTB2	DKFZP586C1619|BTBD22|ABTB2A	11	ankyrin repeat and BTB domain containing 2	HGNC_protein_coding
30	ACAA1	ACAA|PTHIO|THIO	3	acetyl-CoA acyltransferase 1	HGNC_protein_coding
10449	ACAA2	DSAEC	18	acetyl-CoA acyltransferase 2	HGNC_protein_coding
31	ACACA	ACC1	17	acetyl-CoA carboxylase alpha	HGNC_protein_coding
32	ACACB	HACC275|ACC2|ACCB	12	acetyl-CoA carboxylase beta	HGNC_protein_coding
27034	ACAD8	ACAD-8|ARC42|IBDH	11	acyl-CoA dehydrogenase family member 8	HGNC_protein_coding
28976	ACAD9	NPD002|MGC14452	3	acyl-CoA dehydrogenase family member 9	HGNC_protein_coding
80724	ACAD10	MGC5601	12	acyl-CoA dehydrogenase family member 10	HGNC_protein_coding
84129	ACAD11	FLJ12592	3	acyl-CoA dehydrogenase family member 11	HGNC_protein_coding
33	ACADL	LCAD|ACAD4	2	acyl-CoA dehydrogenase long chain	HGNC_protein_coding
34	ACADM	MCAD|MCADH|ACAD1	1	acyl-CoA dehydrogenase medium chain	HGNC_protein_coding
35	ACADS	SCAD|ACAD3	12	acyl-CoA dehydrogenase short chain	HGNC_protein_coding
36	ACADSB	SBCAD|ACAD7	10	acyl-CoA dehydrogenase short/branched chain	HGNC_protein_coding
37	ACADVL	VLCAD|LCACD|ACAD6	17	acyl-CoA dehydrogenase very long chain	HGNC_protein_coding
176	ACAN	CSPGCP	15	aggrecan	HGNC_protein_coding
9744	ACAP1	KIAA0050	17	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	HGNC_protein_coding
23527	ACAP2	KIAA0041|CNT-B2	3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	HGNC_protein_coding
116983	ACAP3	KIAA1716	1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	HGNC_protein_coding
38	ACAT1	THIL	11	acetyl-CoA acetyltransferase 1	HGNC_protein_coding
39	ACAT2	-	6	acetyl-CoA acetyltransferase 2	HGNC_protein_coding
64746	ACBD3	GCP60|PAP7	1	acyl-CoA binding domain containing 3	HGNC_protein_coding
79777	ACBD4	FLJ13322	17	acyl-CoA binding domain containing 4	HGNC_protein_coding
91452	ACBD5	DKFZp434A2417|KIAA1996	10	acyl-CoA binding domain containing 5	HGNC_protein_coding
84320	ACBD6	MGC2404	1	acyl-CoA binding domain containing 6	HGNC_protein_coding
414149	ACBD7	FLJ38219|bA455B2.2	10	acyl-CoA binding domain containing 7	HGNC_protein_coding
84680	ACCS	PHACS|ACS	11	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	HGNC_protein_coding
390110	ACCSL		11	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	HGNC_protein_coding
65057	ACD	Ptop|Pip1|Tpp1|Tint1	16	ACD shelterin complex subunit and telomerase recruitment factor	HGNC_protein_coding
1636	ACE	ACE1|CD143	17	angiotensin I converting enzyme	HGNC_protein_coding
59272	ACE2	ACEH	X	angiotensin I converting enzyme 2	HGNC_protein_coding
125981	ACER1	ALKCDase1|ASAH3	19	alkaline ceramidase 1	HGNC_protein_coding
340485	ACER2	FLJ41587|ALKCDase2	9	alkaline ceramidase 2	HGNC_protein_coding
55331	ACER3	FLJ11238|APHC	11	alkaline ceramidase 3	HGNC_protein_coding
43	ACHE	ACEE|ARACHE|N-ACHE|YT	7	acetylcholinesterase (Cartwright blood group)	HGNC_protein_coding
22985	ACIN1	KIAA0670|fSAP152	14	apoptotic chromatin condensation inducer 1	HGNC_protein_coding
2532	ACKR1	CCBP1|GPD|Dfy|CD234	1	atypical chemokine receptor 1 (Duffy blood group)	HGNC_protein_coding
1238	ACKR2	CCR10|D6|CCR9	3	atypical chemokine receptor 2	HGNC_protein_coding
57007	ACKR3	RDC1|GPR159	2	atypical chemokine receptor 3	HGNC_protein_coding
51554	ACKR4	CCR11|CCBP2|VSHK1|CCX-CKR|PPR1	3	atypical chemokine receptor 4	HGNC_protein_coding
47	ACLY	ATPCL|CLATP|ACL	17	ATP citrate lyase	HGNC_protein_coding
130013	ACMSD	-	2	aminocarboxymuconate semialdehyde decarboxylase	HGNC_protein_coding
48	ACO1	IRP1|IREBP	9	aconitase 1	HGNC_protein_coding
50	ACO2	ACONM	22	aconitase 2	HGNC_protein_coding
730249	ACOD1	CAD	13	aconitate decarboxylase 1	HGNC_protein_coding
641371	ACOT1	ACH2|CTE-1|LACH2	14	acyl-CoA thioesterase 1	HGNC_protein_coding
10965	ACOT2	Mte1|ZAP128	14	acyl-CoA thioesterase 2	HGNC_protein_coding
122970	ACOT4	FLJ31235|PTE-Ib|PTE2B	14	acyl-CoA thioesterase 4	HGNC_protein_coding
641372	ACOT6		14	acyl-CoA thioesterase 6	HGNC_protein_coding
11332	ACOT7	BACH|ACH1|ACT|CTE-II|LACH1|MGC1126|hBACH	1	acyl-CoA thioesterase 7	HGNC_protein_coding
10005	ACOT8	hACTE-III|hTE|PTE-2|NAP1	20	acyl-CoA thioesterase 8	HGNC_protein_coding
23597	ACOT9	CGI-16|MT-ACT48|ACATE2	X	acyl-CoA thioesterase 9	HGNC_protein_coding
26027	ACOT11	STARD14|BFIT|KIAA0707|BFIT1|THEM1	1	acyl-CoA thioesterase 11	HGNC_protein_coding
134526	ACOT12	Cach|THEAL|STARD15	5	acyl-CoA thioesterase 12	HGNC_protein_coding
55856	ACOT13	HT012	6	acyl-CoA thioesterase 13	HGNC_protein_coding
51	ACOX1	PALMCOX	17	acyl-CoA oxidase 1	HGNC_protein_coding
8309	ACOX2	BRCACOX|BRCOX|THCCox	3	acyl-CoA oxidase 2	HGNC_protein_coding
8310	ACOX3	-	4	acyl-CoA oxidase 3, pristanoyl	HGNC_protein_coding
55289	ACOXL	FLJ11042	2	acyl-CoA oxidase like	HGNC_protein_coding
52	ACP1	HAAP|LMW-PTP|LMWPTP	2	acid phosphatase 1	HGNC_protein_coding
53	ACP2	LAP	11	acid phosphatase 2, lysosomal	HGNC_protein_coding
55	ACP3	ACP-3|PAP|TM-PAP	3	acid phosphatase 3	HGNC_protein_coding
93650	ACP4		19	acid phosphatase 4	HGNC_protein_coding
54	ACP5	TRAP|HPAP	19	acid phosphatase 5, tartrate resistant	HGNC_protein_coding
51205	ACP6	LPAP|ACPL1	1	acid phosphatase 6, lysophosphatidic	HGNC_protein_coding
390928	ACP7	FLJ16165|PAPL1|PAPL	19	acid phosphatase 7, tartrate resistant (putative)	HGNC_protein_coding
49	ACR	-	22	acrosin	HGNC_protein_coding
84519	ACRBP	SP32|OY-TES-1|CT23	12	acrosin binding protein	HGNC_protein_coding
56	ACRV1	SPACA2|SP-10|D11S4365	11	acrosomal vesicle protein 1	HGNC_protein_coding
23205	ACSBG1	BGM|FLJ30320|MGC14352|BG1|KIAA0631|hBG1|hsBG	15	acyl-CoA synthetase bubblegum family member 1	HGNC_protein_coding
81616	ACSBG2	BGR|PRTD-NY3|DKFZp434K1635	19	acyl-CoA synthetase bubblegum family member 2	HGNC_protein_coding
80221	ACSF2	FLJ20920|ACSMW	17	acyl-CoA synthetase family member 2	HGNC_protein_coding
197322	ACSF3	-	16	acyl-CoA synthetase family member 3	HGNC_protein_coding
2180	ACSL1	LACS2|LACS|ACS1|LACS1|FACL1	4	acyl-CoA synthetase long chain family member 1	HGNC_protein_coding
2181	ACSL3	ACS3|PRO2194	2	acyl-CoA synthetase long chain family member 3	HGNC_protein_coding
2182	ACSL4	ACS4|LACS4	X	acyl-CoA synthetase long chain family member 4	HGNC_protein_coding
51703	ACSL5	ACS5|ACS2	10	acyl-CoA synthetase long chain family member 5	HGNC_protein_coding
23305	ACSL6	KIAA0837|ACS2|LACS5|LACS2	5	acyl-CoA synthetase long chain family member 6	HGNC_protein_coding
116285	ACSM1	MACS1	16	acyl-CoA synthetase medium chain family member 1	HGNC_protein_coding
123876	ACSM2A	A-923A4.1|MGC150530	16	acyl-CoA synthetase medium chain family member 2A	HGNC_protein_coding
348158	ACSM2B	HXMA|HYST1046	16	acyl-CoA synthetase medium chain family member 2B	HGNC_protein_coding
6296	ACSM3	SA	16	acyl-CoA synthetase medium chain family member 3	HGNC_protein_coding
341392	ACSM4	-	12	acyl-CoA synthetase medium chain family member 4	HGNC_protein_coding
54988	ACSM5	FLJ20581	16	acyl-CoA synthetase medium chain family member 5	HGNC_protein_coding
142827	ACSM6	bA310E22.3	10	acyl-CoA synthetase medium chain family member 6	HGNC_protein_coding
84532	ACSS1	dJ568C11.3|AceCS2L|MGC33843	20	acyl-CoA synthetase short chain family member 1	HGNC_protein_coding
55902	ACSS2	ACS|ACSA|AceCS|dJ1161H23.1	20	acyl-CoA synthetase short chain family member 2	HGNC_protein_coding
79611	ACSS3	FLJ21963	12	acyl-CoA synthetase short chain family member 3	HGNC_protein_coding
58	ACTA1	NEM3	1	actin alpha 1, skeletal muscle	HGNC_protein_coding
59	ACTA2	ACTSA	10	actin alpha 2, smooth muscle	HGNC_protein_coding
60	ACTB	BRWS1|PS1TP5BP1	7	actin beta	HGNC_protein_coding
345651	ACTBL2	DKFZp686D0972	5	actin beta like 2	HGNC_protein_coding
70	ACTC1	CMD1R	15	actin alpha cardiac muscle 1	HGNC_protein_coding
71	ACTG1	ACT|ACTG|DFNA20|DFNA26|HEL-176	17	actin gamma 1	HGNC_protein_coding
72	ACTG2	ACTSG	2	actin gamma 2, smooth muscle	HGNC_protein_coding
86	ACTL6A	Actl6|BAF53A|Arp4|Baf53a|INO80K	3	actin like 6A	HGNC_protein_coding
51412	ACTL6B	BAF53B	7	actin like 6B	HGNC_protein_coding
10881	ACTL7A		9	actin like 7A	HGNC_protein_coding
10880	ACTL7B	Tact1	9	actin like 7B	HGNC_protein_coding
81569	ACTL8	CT57	1	actin like 8	HGNC_protein_coding
284382	ACTL9	MGC33407	19	actin like 9	HGNC_protein_coding
170487	ACTL10	C20orf134|dJ63M2.2	20	actin like 10	HGNC_protein_coding
87	ACTN1	BDPLT15	14	actinin alpha 1	HGNC_protein_coding
88	ACTN2	CMD1AA|CMH23|MPD6|MYOCOZ	1	actinin alpha 2	HGNC_protein_coding
89	ACTN3	ACTN3D	11	actinin alpha 3	HGNC_protein_coding
81	ACTN4	ACTININ-4|FSGS|FSGS1	19	actinin alpha 4	HGNC_protein_coding
10121	ACTR1A	ARP1|Arp1A	10	actin related protein 1A	HGNC_protein_coding
10120	ACTR1B	Arp1B	2	actin related protein 1B	HGNC_protein_coding
10097	ACTR2	ARP2	2	actin related protein 2	HGNC_protein_coding
10096	ACTR3	ARP3	2	actin related protein 3	HGNC_protein_coding
57180	ACTR3B	ARP11|ARP3beta	7	actin related protein 3B	HGNC_protein_coding
653857	ACTR3C	ARP11	7	actin related protein 3C	HGNC_protein_coding
79913	ACTR5	FLJ12785|Arp5|INO80M	20	actin related protein 5	HGNC_protein_coding
64431	ACTR6	ARP6|FLJ13433	12	actin related protein 6	HGNC_protein_coding
93973	ACTR8	INO80N|ARP8	3	actin related protein 8	HGNC_protein_coding
55860	ACTR10	HARP11|ACTR11|Arp11|Arp10	14	actin related protein 10	HGNC_protein_coding
139741	ACTRT1	AIP1|KIAA0705|ARIP1|Arp-T1	X	actin related protein T1	HGNC_protein_coding
140625	ACTRT2	Arp-T2|ARPM2|FLJ25424	1	actin related protein T2	HGNC_protein_coding
84517	ACTRT3	ARPM1	3	actin related protein T3	HGNC_protein_coding
90	ACVR1	SKR1|ALK2|ACVR1A	2	activin A receptor type 1	HGNC_protein_coding
91	ACVR1B	ALK4|SKR2|ActRIB	12	activin A receptor type 1B	HGNC_protein_coding
130399	ACVR1C	ALK7|ACVRLK7	2	activin A receptor type 1C	HGNC_protein_coding
92	ACVR2A	ACTRII	2	activin A receptor type 2A	HGNC_protein_coding
93	ACVR2B	ActR-IIB	3	activin A receptor type 2B	HGNC_protein_coding
94	ACVRL1	HHT2|ALK1|HHT	12	activin A receptor like type 1	HGNC_protein_coding
95	ACY1	ACY-1|ACY1D|HEL-S-5	3	aminoacylase 1	HGNC_protein_coding
91703	ACY3	HCBP1|MGC9740|ACY-3	11	aminoacylase 3	HGNC_protein_coding
97	ACYP1	ACYPE	14	acylphosphatase 1	HGNC_protein_coding
98	ACYP2	ACYM|ACYP	2	acylphosphatase 2	HGNC_protein_coding
100	ADA	ADA1	20	adenosine deaminase	HGNC_protein_coding
51816	ADA2	ADGF	22	adenosine deaminase 2	HGNC_protein_coding
132612	ADAD1	Tenr	4	adenosine deaminase domain containing 1	HGNC_protein_coding
161931	ADAD2	TENRL|FLJ00337	16	adenosine deaminase domain containing 2	HGNC_protein_coding
161823	ADAL	HsMAPDA	15	adenosine deaminase like	HGNC_protein_coding
2515	ADAM2	PH-30b|PH30|CT15	8	ADAM metallopeptidase domain 2	HGNC_protein_coding
8756	ADAM7	GP-83|EAPI	8	ADAM metallopeptidase domain 7	HGNC_protein_coding
101	ADAM8	CD156|MS2|CD156A	10	ADAM metallopeptidase domain 8	HGNC_protein_coding
8754	ADAM9	MDC9|KIAA0021|MCMP|Mltng	8	ADAM metallopeptidase domain 9	HGNC_protein_coding
102	ADAM10	kuz|MADM|HsT18717|CD156C	15	ADAM metallopeptidase domain 10	HGNC_protein_coding
4185	ADAM11	MDC	17	ADAM metallopeptidase domain 11	HGNC_protein_coding
8038	ADAM12	MCMPMltna|MLTN	10	ADAM metallopeptidase domain 12	HGNC_protein_coding
8751	ADAM15	MDC15	1	ADAM metallopeptidase domain 15	HGNC_protein_coding
6868	ADAM17	cSVP|CD156B	2	ADAM metallopeptidase domain 17	HGNC_protein_coding
8749	ADAM18	tMDCIII|ADAM27	8	ADAM metallopeptidase domain 18	HGNC_protein_coding
8728	ADAM19	MLTNB	5	ADAM metallopeptidase domain 19	HGNC_protein_coding
8748	ADAM20	-	14	ADAM metallopeptidase domain 20	HGNC_protein_coding
8747	ADAM21	ADAM31	14	ADAM metallopeptidase domain 21	HGNC_protein_coding
53616	ADAM22	MDC2	7	ADAM metallopeptidase domain 22	HGNC_protein_coding
8745	ADAM23	MDC3	2	ADAM metallopeptidase domain 23	HGNC_protein_coding
10863	ADAM28	eMDCII|MDC-Lm|MDC-Ls|ADAM23	8	ADAM metallopeptidase domain 28	HGNC_protein_coding
11086	ADAM29	svph1|CT73	4	ADAM metallopeptidase domain 29	HGNC_protein_coding
11085	ADAM30	svph4	1	ADAM metallopeptidase domain 30	HGNC_protein_coding
203102	ADAM32	-	8	ADAM metallopeptidase domain 32	HGNC_protein_coding
80332	ADAM33	DKFZp434K0521|dJ964F7.1	20	ADAM metallopeptidase domain 33	HGNC_protein_coding
27299	ADAMDEC1	M12.219	8	ADAM like decysin 1	HGNC_protein_coding
9510	ADAMTS1	C3-C5|METH1|KIAA1346	21	ADAM metallopeptidase with thrombospondin type 1 motif 1	HGNC_protein_coding
9509	ADAMTS2	ADAMTS-3|hPCPNI|PCINP|ADAM-TS2|NPI	5	ADAM metallopeptidase with thrombospondin type 1 motif 2	HGNC_protein_coding
9508	ADAMTS3	KIAA0366|ADAMTS-4	4	ADAM metallopeptidase with thrombospondin type 1 motif 3	HGNC_protein_coding
9507	ADAMTS4	KIAA0688|ADAMTS-2|ADMP-1	1	ADAM metallopeptidase with thrombospondin type 1 motif 4	HGNC_protein_coding
11096	ADAMTS5	ADMP-2|ADAMTS11	21	ADAM metallopeptidase with thrombospondin type 1 motif 5	HGNC_protein_coding
11174	ADAMTS6	ADAM-TS6	5	ADAM metallopeptidase with thrombospondin type 1 motif 6	HGNC_protein_coding
11173	ADAMTS7	ADAM-TS7|DKFZp434H204	15	ADAM metallopeptidase with thrombospondin type 1 motif 7	HGNC_protein_coding
11095	ADAMTS8	METH2|FLJ41712|ADAM-TS8	11	ADAM metallopeptidase with thrombospondin type 1 motif 8	HGNC_protein_coding
56999	ADAMTS9	KIAA1312	3	ADAM metallopeptidase with thrombospondin type 1 motif 9	HGNC_protein_coding
