Letter,Gene_ID,Gene_Name,GO_ID,GO_Namespace,GO_Name,GOF,a,b,c,d,Pvalue,Adjusted_Pvalue,Enrichment_Score,GO_Level,GO_Children,GSEA_MSigDB,NCBI_Entrez
I,3458,IFNG,GO:0046903,biological_process,secretion,,52,119,550,29343,1.6459328949324751e-46,1.6459328949324751e-46,105.42060694487307,4,10,1,0
M,10232,MSLN,GO:0007155,biological_process,cell adhesion,,92,1149,269,28554,2.196018644701668e-46,2.2700417450848703e-46,105.09911605649665,2,7,0,1
E,1978,EIF4EBP1,GO:0006412,biological_process,translation,,42,107,319,29596,1.351400156892899e-45,1.474254716610435e-45,103.22817659950994,5,4,0,0
C,1029,CDKN2A,GO:0007049,biological_process,cell cycle,,109,376,1241,28338,1.6835520144010766e-45,1.6835520144010766e-45,103.09542332900521,2,2,1,0
C,1084,CEACAM3,GO:0016020,cellular_component,membrane,,42,19,1187,28816,3.4327631128866176e-44,3.4327631128866176e-44,100.0803785825892,2,16,0,0
I,3553,IL1B,GO:0046903,biological_process,secretion,,50,119,552,29343,4.4202904138486184e-44,4.4202904138486184e-44,99.82753869331621,4,10,1,0
V,7422,VEGFA,GO:0001946,biological_process,lymphangiogenesis,,38,1009,16,29001,2.5121249457927098e-43,2.5838999442439303e-43,98.06185913484113,3,1,0,0
M,407041,MIR34B,GO:0032259,biological_process,methylation,,31,12,616,29405,1.228391326543848e-42,1.228391326543848e-42,96.50286845696543,2,1,0,0
F,2247,FGF2,GO:0040007,biological_process,growth,,111,58,5436,24459,1.4140080310037938e-41,1.4140080310037938e-41,94.0595605656627,1,10,1,0
C,925,CD8A,GO:0042098,biological_process,T cell proliferation,,28,425,14,29597,1.8215014934805412e-41,1.8508805498270017e-41,93.79032731402533,5,7,0,0
M,4292,MLH1,GO:0006298,biological_process,mismatch repair,,16,11,24,30013,3.833004668636335e-41,3.8330046686363354e-41,93.06233980834715,6,2,1,1
C,760,CA2,GO:0005886,cellular_component,plasma membrane,,36,171,157,29700,3.855464819435035e-41,3.855464819435035e-41,93.05649723728031,3,3,0,1
T,7040,TGFB1,GO:0040007,biological_process,growth,,193,215,5354,24302,8.029272660667748e-41,8.029272660667748e-41,92.32289486664959,1,10,1,0
K,3852,KRT5,GO:0016020,cellular_component,membrane,,45,38,1184,28797,2.1288103483525228e-40,2.1288103483525228e-40,91.34784041797218,2,16,0,1
E,1950,EGF,GO:0040007,biological_process,growth,,114,66,5433,24451,2.4385219679344767e-40,2.4385219679344767e-40,91.21201161484441,1,10,0,0
P,5747,PTK2,GO:0023052,biological_process,signaling,,204,377,3909,25574,8.660347589169071e-40,8.823750373870374e-40,89.92595672766336,1,6,0,0
C,1019,CDK4,GO:0007049,biological_process,cell cycle,,48,47,1302,28667,3.800236646901448e-39,3.800236646901448e-39,88.46575528647409,2,2,1,0
S,8878,SQSTM1,GO:0006914,biological_process,autophagy,,32,34,483,29515,4.718501713172022e-39,4.7185017131720213e-39,88.24932731121304,3,7,0,1
B,8678,BECN1,GO:0006914,biological_process,autophagy,,27,13,488,29536,1.0153684471227748e-38,1.0153684471227748e-38,87.4829819850579,3,7,0,2
C,794,CALB2,GO:0005488,molecular_function,binding,,142,359,2435,27128,1.0630415015457063e-38,1.0630415015457063e-38,87.43709939327039,1,52,0,0
M,4436,MSH2,GO:0006298,biological_process,mismatch repair,,14,4,26,30020,1.256041737404311e-38,1.256041737404311e-38,87.2702682358624,6,2,1,1
B,8314,BAP1,GO:0043657,cellular_component,host cell,,38,1156,22,28848,1.9846151424803793e-38,2.0342305210423887e-38,86.78811590872334,3,1,0,0
C,1029,CDKN2A,GO:0005694,cellular_component,chromosome,,59,426,347,29232,2.440966560095515e-38,2.4797120610494124e-38,86.59009108475304,5,6,0,0
C,1493,CTLA4,GO:0012501,biological_process,programmed cell death,,26,50,170,29818,3.08010794946933e-38,3.08010794946933e-38,86.37326888887344,3,10,0,0
B,8314,BAP1,GO:0023052,biological_process,signaling,,35,1159,4078,24792,3.4742592363729993e-38,3.5910410594443606e-38,86.21979138460898,1,6,0,0
C,794,CALB2,GO:0005819,cellular_component,spindle,,47,454,174,29389,6.67979405227034e-38,6.810770406236425e-38,85.57972829134181,5,2,0,0
D,1803,DPP4,GO:0005634,cellular_component,nucleus,,64,358,523,29119,1.2644601411844334e-37,1.2644601411844334e-37,84.96100317555278,5,11,0,0
D,1674,DES,GO:0016020,cellular_component,membrane,,38,23,1191,28812,1.50356673864144e-37,1.5035667386414403e-37,84.78780832946477,2,16,0,0
E,4072,EPCAM,GO:0007155,biological_process,cell adhesion,,28,35,333,29668,2.5050882471146253e-37,2.5050882471146253e-37,84.2773244784743,2,7,0,0
B,8314,BAP1,GO:0005694,cellular_component,chromosome,,85,1109,321,28549,3.771354544560993e-37,3.931157703228832e-37,83.82671447730472,5,6,0,0
Y,10413,YAP1,GO:0035329,biological_process,hippo signaling,,41,554,95,29374,6.7397484459955515e-37,6.7397484459955515e-37,83.28762583910456,4,1,1,1
M,10232,MSLN,GO:0006959,biological_process,humoral immune response,,31,1210,7,28816,8.13122512504967e-37,8.500826267097384e-37,83.05548507411399,3,4,0,0
E,2202,EFEMP1,GO:0031012,cellular_component,extracellular matrix,,27,63,190,29784,1.3166051989622147e-36,1.3166051989622147e-36,82.61800674296296,3,8,1,1
I,3486,IGFBP3,GO:0005520,molecular_function,insulin-like growth factor binding,,15,29,14,30006,1.559561018380348e-36,1.559561018380348e-36,82.44865896459831,4,2,0,1
L,3902,LAG3,GO:0046649,biological_process,lymphocyte activation,,13,9,13,30029,1.9634071170366993e-36,1.9634071170366993e-36,82.21838205866277,3,6,1,0
M,5599,MAPK8,GO:0016310,biological_process,phosphorylation,,80,154,1904,27926,3.763500367101217e-36,3.763500367101217e-36,81.5677138747507,5,8,0,0
H,3014,H2AX,GO:0016310,biological_process,phosphorylation,,42,18,1942,28062,4.982000329045274e-36,4.982000329045274e-36,81.28723186489883,5,8,0,0
C,712,C1QA,GO:0006956,biological_process,complement activation,,16,81,7,29960,9.008162216808862e-36,9.00816221680886e-36,80.69493226846777,3,4,1,1
M,2956,MSH6,GO:0006298,biological_process,mismatch repair,,13,4,27,30020,1.0871970186787504e-35,1.0871970186787504e-35,80.50687541314186,6,2,1,1
B,8314,BAP1,GO:0101005,molecular_function,deubiquitinase activity,,28,1166,4,28866,1.3402116388812006e-35,1.4089404408751082e-35,80.24764029326165,6,5,0,0
C,925,CD8A,GO:0006955,biological_process,immune response,,44,409,186,29425,2.5414253128342287e-35,2.6247507329271537e-35,79.62549232214178,2,9,0,1
C,1017,CDK2,GO:0007049,biological_process,cell cycle,,41,35,1309,28679,3.6703630737826646e-35,3.6703630737826646e-35,79.29018766743238,2,2,1,0
H,3146,HMGB1,GO:0005615,cellular_component,extracellular space,,28,345,43,29648,4.2922286291565133e-35,4.376389974826249e-35,79.11425407690898,2,1,0,1
P,5395,PMS2,GO:0006298,biological_process,mismatch repair,,13,6,27,30018,1.2373371542840388e-34,1.2373371542840388e-34,78.07493154749365,6,2,1,1
N,4771,NF2,GO:0005634,cellular_component,nucleus,,85,799,502,28678,1.9811060737214333e-34,2.0031183634294493e-34,77.59318801378468,5,11,0,2
H,3161,HMMR,GO:0016477,biological_process,cell migration,,24,15,447,29578,5.384929507446092e-34,5.384929507446092e-34,76.60428894181415,3,34,0,0
B,672,BRCA1,GO:0006281,biological_process,DNA repair,,35,124,330,29575,8.389780565463882e-34,8.389780565463882e-34,76.1608787959556,5,15,1,0
C,794,CALB2,GO:0016020,cellular_component,membrane,,91,410,1138,28425,1.3669348531190864e-33,1.4216122472438499e-33,75.63351645586987,2,16,0,0
T,7157,TP53,GO:0002039,molecular_function,p53 binding,,22,1036,0,29006,8.502025700080335e-33,8.55687747879053e-33,73.83857272571358,3,1,1,1
B,8314,BAP1,GO:0040007,biological_process,growth,,80,1114,5467,23403,1.3163350363013852e-32,1.3957690471126756e-32,73.34927742418687,1,10,1,0
A,308,ANXA5,GO:0005488,molecular_function,binding,,56,48,2521,27439,1.921951332778659e-32,1.921951332778659e-32,73.02938198671688,1,52,0,0
C,1029,CDKN2A,GO:0032259,biological_process,methylation,,65,420,582,28997,2.436516807126299e-32,2.515114123485212e-32,72.76040479615597,2,1,0,0
I,3429,IFI27,GO:0007049,biological_process,cell cycle,,35,24,1315,28690,3.366655169186431e-32,3.366655169186431e-32,72.46880325572933,2,2,0,0
C,1021,CDK6,GO:0007049,biological_process,cell cycle,,37,31,1313,28683,4.8189343634897365e-32,4.8189343634897365e-32,72.11017015860307,2,2,1,0
P,5468,PPARG,GO:0005777,cellular_component,peroxisome,,12,11,17,30024,6.142835645199379e-32,6.142835645199379e-32,71.86743650879605,6,9,0,0
P,5564,PRKAB1,GO:0016310,biological_process,phosphorylation,,39,21,1945,28059,1.3032665271612015e-31,1.3032665271612015e-31,71.11526405673257,5,8,0,0
A,9474,ATG5,GO:0006914,biological_process,autophagy,,24,19,491,29530,1.4148288350966916e-31,1.4148288350966916e-31,71.033129323633,3,7,0,1
L,26524,LATS2,GO:0035329,biological_process,hippo signaling,,21,63,115,29865,2.9912538653197462e-31,2.9912538653197462e-31,70.28444523036694,4,1,1,1
E,2050,EPHB4,GO:0016310,biological_process,phosphorylation,,56,77,1928,28003,3.5559557688064625e-31,3.5559557688064625e-31,70.11151400370949,5,8,0,0
P,5159,PDGFRB,GO:0040007,biological_process,growth,,97,68,5450,24449,9.949087232196388e-31,9.949087232196388e-31,69.08265707131052,1,10,1,0
N,4771,NF2,GO:0060242,biological_process,contact inhibition,,29,855,24,29156,9.745950473005403e-31,9.964960595994288e-31,69.08106288339889,5,1,0,0
V,7431,VIM,GO:0005819,cellular_component,spindle,,31,190,190,29653,1.577843378485685e-30,1.6256568141973723e-30,68.59164086235157,5,2,0,0
X,7515,XRCC1,GO:0006281,biological_process,DNA repair,,17,3,348,29696,2.053096200346595e-30,2.053096200346595e-30,68.35820379445737,5,15,1,0
C,54205,CYCS,GO:0005829,cellular_component,cytosol,,18,41,102,29903,9.856129832302347e-30,9.856129832302347e-30,66.78945921019668,2,1,0,1
V,64115,VSIR,GO:0001775,biological_process,cell activation,,15,18,82,29949,1.357525603499262e-29,1.357525603499262e-29,66.4693040634063,2,14,1,0
I,9235,IL32,GO:0001525,biological_process,angiogenesis,,31,47,728,29258,2.794136984684361e-29,2.794136984684361e-29,65.7474444090325,3,5,0,0
K,3778,KCNMA1,GO:0016477,biological_process,cell migration,,21,17,450,29576,1.7937820058159425e-28,1.7937820058159425e-28,63.88805636050308,3,34,0,0
P,5443,POMC,GO:0046903,biological_process,secretion,,21,12,581,29450,4.317539056568769e-28,4.317539056568769e-28,63.009697026728084,4,10,1,0
R,80196,RNF34,GO:0016049,biological_process,cell growth,,28,21,1058,28957,5.584872580173927e-28,5.584872580173927e-28,62.75232098622342,2,6,0,0
M,10232,MSLN,GO:0016310,biological_process,phosphorylation,,7,1234,1977,26846,6.048039153272358e-28,6.395627610356977e-28,62.616768032827196,5,8,0,0
P,728378,POTEF,GO:0023052,biological_process,signaling,,52,24,4061,25927,1.1175104706315945e-27,1.1175104706315945e-27,62.05869409368484,1,6,0,0
N,4771,NF2,GO:0005938,cellular_component,cell cortex,,19,865,2,29178,1.3052867815502748e-27,1.3497851945576706e-27,61.86985204619152,3,1,1,0
F,2335,FN1,GO:0031012,cellular_component,extracellular matrix,,22,70,195,29777,1.5351941676101584e-27,1.5351941676101584e-27,61.7411406442426,3,8,1,1
P,142,PARP1,GO:0035825,biological_process,homologous recombination,,21,223,50,29770,1.987500645519994e-27,1.987500645519994e-27,61.482919618503004,6,2,0,0
T,8743,TNFSF10,GO:0046960,biological_process,sensitization,,18,124,48,29874,2.535369775451319e-27,2.535369775451319e-27,61.239458016405656,5,1,0,0
M,5599,MAPK8,GO:0023052,biological_process,signaling,,99,135,4014,25816,4.3034750395312395e-27,4.4197851757347866e-27,60.68370641870572,1,6,0,0
P,142,PARP1,GO:0006281,biological_process,DNA repair,,35,209,330,29490,4.786525513080184e-27,4.8768373152137725e-27,60.58530059222075,5,15,1,1
C,983,CDK1,GO:0007049,biological_process,cell cycle,,36,46,1314,28668,6.0771672107029414e-27,6.077167210702941e-27,60.365258842727556,2,2,1,0
M,2475,MTOR,GO:0016310,biological_process,phosphorylation,,136,624,1848,27456,7.293989212329216e-27,7.471891388239684e-27,60.1586493458535,5,8,0,1
I,3479,IGF1,GO:0006412,biological_process,translation,,29,118,332,29585,7.540058841772483e-27,7.540058841772483e-27,60.149567524901215,5,4,0,0
S,6382,SDC1,GO:0001525,biological_process,angiogenesis,,49,232,710,29073,8.664600456892911e-27,8.664600456892911e-27,60.01055169872981,3,5,0,0
P,5069,PAPPA,GO:0016477,biological_process,cell migration,,20,18,451,29575,1.3742181748315058e-26,1.3742181748315058e-26,59.549327448563545,3,34,0,0
M,5595,MAPK3,GO:0023052,biological_process,signaling,,142,274,3971,25677,1.477586442089367e-26,1.508369492966229e-26,59.456183156411484,1,6,0,0
D,1803,DPP4,GO:0051179,biological_process,localization,,57,365,659,28983,2.2322714857313204e-26,2.2736098465781968e-26,59.0458436086625,1,10,0,0
Y,10413,YAP1,GO:0005634,cellular_component,nucleus,,61,534,526,28943,2.75842802313684e-26,2.804401823522454e-26,58.836022155258505,5,11,0,9
M,2475,MTOR,GO:0006412,biological_process,translation,,54,706,307,28997,5.415516633696564e-26,5.616091323833474e-26,58.141576489887534,5,4,0,0
F,2526,FUT4,GO:0016020,cellular_component,membrane,,21,4,1208,28831,6.369786832147228e-26,6.369786832147228e-26,58.01564641316215,2,16,0,1
M,81631,MAP1LC3B,GO:0006914,biological_process,autophagy,,21,23,494,29526,7.555359044632943e-26,7.555359044632943e-26,57.844955299142114,3,7,0,1
P,5209,PFKFB3,GO:0044351,biological_process,macropinocytosis,,9,15,6,30034,1.1817852944495356e-25,1.1817852944495356e-25,57.39760106834864,5,2,0,0
G,2821,GPI,GO:0006810,biological_process,transport,,15,14,190,29845,1.3574435949465982e-25,1.3574435949465982e-25,57.25902410357235,3,34,0,0
A,9212,AURKB,GO:0000910,biological_process,cytokinesis,,12,18,53,29981,2.9788020599797397e-25,2.9788020599797397e-25,56.47310609845018,3,4,1,0
G,2735,GLI1,GO:0023052,biological_process,signaling,,74,78,4039,25873,3.452737369289539e-25,3.4527373692895386e-25,56.32545996804151,1,6,0,0
D,1786,DNMT1,GO:0032259,biological_process,methylation,,24,34,623,29383,4.1340748436116257e-25,4.1340748436116257e-25,56.14536375935012,2,1,1,0
H,3099,HK2,GO:0000910,biological_process,cytokinesis,,12,19,53,29980,4.852235644343675e-25,4.852235644343675e-25,55.985187768513434,3,4,0,0
C,963,CD53,GO:0009986,cellular_component,cell surface,,16,2,674,29372,7.3219710927664865e-25,7.3219710927664865e-25,55.57374775815782,2,1,1,0
D,1803,DPP4,GO:0009986,cellular_component,cell surface,,54,368,636,29006,1.167530341833992e-24,1.2115880905824446e-24,55.070110261230624,2,1,1,4
A,9212,AURKB,GO:0009838,biological_process,abscission,,9,21,6,30028,1.2917552368827517e-24,1.3635194167095712e-24,54.95197306831059,2,4,1,0
A,9181,ARHGEF2,GO:0005874,cellular_component,microtubule,,11,9,64,29980,1.782554536458061e-24,1.782554536458061e-24,54.68399476353042,6,7,1,1
A,100,ADA,GO:0004000,molecular_function,adenosine deaminase activity,,7,9,0,30048,2.5991575323779105e-24,2.5991575323779105e-24,54.306854865345926,4,2,1,6
M,4233,MET,GO:0040007,biological_process,growth,,97,94,5450,24423,4.430572691793131e-24,4.430572691793131e-24,53.773513380355645,1,10,0,0
M,4582,MUC1,GO:0070085,biological_process,glycosylation,,17,146,51,29850,4.5492556737092335e-24,4.738807993447118e-24,53.706256605951765,2,4,1,0
D,9730,DCAF1,GO:0005634,cellular_component,nucleus,,25,52,562,29425,4.9960335898788016e-24,4.9960335898788016e-24,53.65339791626192,5,11,0,1
T,5987,TRIM27,GO:0016236,biological_process,macroautophagy,,8,3,16,30037,7.327971264351853e-24,7.327971264351853e-24,53.27034352584232,4,1,0,0
E,1938,EEF2,GO:0005829,cellular_component,cytosol,,12,11,108,29933,1.2100815156876667e-23,1.2100815156876667e-23,52.76876941318663,2,1,0,1
A,207,AKT1,GO:0005488,molecular_function,binding,,32,1378,2545,26109,1.4034536883094616e-23,1.4333144050820034e-23,52.59946761067558,1,52,0,0
N,4790,NFKB1,GO:0023052,biological_process,signaling,,102,167,4011,25784,2.0528575374699285e-23,2.0528575374699285e-23,52.24022439560132,1,6,0,0
S,6423,SFRP2,GO:0006306,biological_process,DNA methylation,,14,21,149,29880,2.2543114163809173e-23,2.2543114163809173e-23,52.14661257112923,4,4,0,0
C,999,CDH1,GO:0098609,biological_process,cell-cell adhesion,,14,179,17,29854,3.0138699644280375e-23,3.0138699644280375e-23,51.856232183442145,3,20,0,2
X,7514,XPO1,GO:0051168,biological_process,nuclear export,,7,2,8,30047,5.260842710633514e-23,5.260842710633514e-23,51.29916591379881,6,4,1,0
S,6423,SFRP2,GO:0032259,biological_process,methylation,,19,16,628,29401,4.786764117037722e-23,5.584558136544009e-23,51.23945182557844,2,1,0,0
F,2149,F2R,GO:0009986,cellular_component,cell surface,,28,71,662,29303,5.749125786122956e-23,5.749125786122956e-23,51.210409332808624,2,1,1,1
C,760,CA2,GO:0006915,biological_process,apoptotic process,,13,194,10,29847,5.746823634229684e-23,5.906457624069398e-23,51.18341087393941,4,18,0,0
C,1029,CDKN2A,GO:0010467,biological_process,gene expression,,74,411,1142,28437,5.850207774311441e-23,6.137922910752987e-23,51.144970742087324,4,4,0,0
M,84557,MAP1LC3A,GO:0005776,cellular_component,autophagosome,,12,107,14,29931,7.70524792181781e-23,8.001603611118494e-23,50.8798151658811,6,2,1,7
K,3855,KRT7,GO:0016020,cellular_component,membrane,,23,15,1206,28820,8.172270129749634e-23,8.172270129749634e-23,50.85871040692908,2,16,0,0
C,54205,CYCS,GO:0031966,cellular_component,mitochondrial membrane,,12,47,37,29968,8.620957397775836e-23,9.012819097674738e-23,50.76080923075674,4,2,0,0
R,55599,RNPC3,GO:0005685,cellular_component,U1 snRNP,,6,2,1,30055,1.9120529714401624e-22,1.9120529714401624e-22,50.00869452689545,5,1,0,0
B,675,BRCA2,GO:0006281,biological_process,DNA repair,,17,24,348,29675,2.1669712128559945e-22,2.1669712128559945e-22,49.883541607733434,5,15,1,0
T,7124,TNF,GO:0046903,biological_process,secretion,,40,242,562,29220,2.4696222002110955e-22,2.4696222002110955e-22,49.75280686230811,4,10,1,0
C,891,CCNB1,GO:0007049,biological_process,cell cycle,,24,17,1326,28697,2.695543040997184e-22,2.695543040997184e-22,49.665272362363964,2,2,1,0
T,8743,TNFSF10,GO:0008219,biological_process,cell death,,34,108,806,29116,3.0522336078416364e-22,3.1476159080866875e-22,49.51022673416614,2,4,0,0
R,5925,RB1,GO:0007049,biological_process,cell cycle,,36,71,1314,28643,3.41922206686039e-22,3.41922206686039e-22,49.42745898649906,2,2,1,0
C,1027,CDKN1B,GO:0007049,biological_process,cell cycle,,28,33,1322,28681,6.421032858349829e-22,6.421032858349829e-22,48.797293059744256,2,2,1,0
S,8877,SPHK1,GO:0016573,biological_process,histone acetylation,,10,36,20,29998,7.2197788469692635e-22,7.219778846969263e-22,48.68004772404707,7,4,0,0
P,5563,PRKAA2,GO:0016310,biological_process,phosphorylation,,32,30,1952,28050,8.474690701442201e-22,8.474690701442201e-22,48.51978788867351,5,8,0,0
